 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
50095337;"Ábrete Sésamo";"";"1";"0";"";"";"2025-10-19 00:00:00.0";"2025-10-19 23:59:00.0";"18:00";"Un viaje al corazón de oriente y la imaginación: A través de una puesta en escena cuidadosamente elaborada, con una estética radiante, humor y una gran creatividad, transformamos el clásico de Las mil y una noches  en un espectáculo de títeres que emociona y conecta con toda la familia. Déjate envolver por la poesía visual, la magia del teatro y el alma de las historias que perduran en el tiempo.   Inscripciones: de lunes a viernes en el teléfono 91.521.86.76";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=abb9aa8ca1ce9910VgnVCM100000891ecb1aRCRD";"Ábrete Sésamo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=668375b3218e9910VgnVCM200000f921e388RCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/TeatroPerformance";"/usuario/Niños,/usuario/Familias"
50067198;"Ábrete Sésamo";"";"1";"0";"";"";"2025-10-19 00:00:00.0";"2025-10-19 23:59:00.0";"12:00";"Títeres. Cía. Arauca Media.   Recomendada a partir de 5 años.   Un viaje al corazón de oriente y la imaginación: A través de una puesta en escena cuidadosamente elaborada, con una estética radiante, humor y una gran creatividad, transformamos el clásico de Las mil y una noches en un espectáculo de títeres que emociona y conecta con toda la familia. Déjate envolver por la poesía visual, la magia del teatro y el alma de las historias que perduran en el tiempo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38e762148df79910VgnVCM100000891ecb1aRCRD";"Actividades en el Centro Cultural Miguel de Cervantes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4daa70db6da41910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=24be1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas)";"1";"CALLE";"ALIAGA";"5";"SAN BLAS-CANILLEJAS";"CANILLEJAS";"28022";"448148";"4476402";"40.4366557020283";"-3.6113517282299217";"";"/usuario/Niños"
50043503;"Acción teatro";"Actividad gratuita con inscripción previa";"0";"1";"V";"";"2025-10-24 00:00:00.0";"2026-01-30 23:59:00.0";"";"El teatro es utilizar nuestros cinco sentidos para percibir el mundo desde la propia subjetividad, es aceptar el hecho de que somos seres singulares y poner un altavoz a nuestra originalidad. ¿Te atreves a hacer teatro con nosotros? Con la Técnica Conectiva (técnicas teatrales psicofísicas), trataremos de influir en nuestra percepción del mundo y nuestro entorno. Además, hacer teatro ayuda a nuestra autopercepción y nos lleva a reconocernos como creadores y como seres humanos únicos. En este curso trabajaremos sobre todas esas capacidades que nos hacen más flexibles y dinámicos. Porque creemos que todas las personas deben tener un espacio seguro donde desarrollar su arte interpretativo, creando juntos entornos saludables que además mejoren indudablemente nuestra salud emocional y nuestras capacidades. Imparte: Con Causa. Organiza: Casa del Lector. Público: Para mayores de 65 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d41770f8ca19910VgnVCM200000f921e388RCRD";"El arte de vivir";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a151770f8ca19910VgnVCM200000f921e388RCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"/usuario/Mayores"
50066176;"Acento Latino";"";"1";"0";"";"";"2025-10-25 00:00:00.0";"2025-10-25 23:59:00.0";"13:40";"Acento Latino visibiliza la influencia que mantiene la cultura latina en Europa, con una combinación de los ritmos autóctonos de diferentes regiones de Latinoamérica, fusionándolos con rap, jazz, rock y electro, con la misión de crear un sonido original al cual denominan NEW LATIN FLOW.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0e53cb31ea79910VgnVCM200000f921e388RCRD";"Festival de danzas y música Hispanoamericana";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dfa5b52ae169910VgnVCM100000891ecb1aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
50039628;"Achuuuuus";"";"1";"0";"";"";"2025-10-24 00:00:00.0";"2025-10-24 23:59:00.0";"17:30";"Compañía: Achús y Achusita      UBICACIÓN: Parque Lola Camarena, (Avenida de La Gavia, 13, 28031, Madrid)  Duración: 60 minutos  Edad recomendada: A partir de 3 años  Sinopsis: Achús es un espectáculo familiar que hace disfrutar a tres generaciones, mezclando la diversión, globoflexia, magia y el humor para los más pequeños, desde de los 3 años, hasta los mayores sin límite de edad. Humor sencillo, original y muy sorprendente. ¿Te lo vas a perder?";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9279e8c34019910VgnVCM100000891ecb1aRCRD";"Actividades Calle Abierta";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=261af36edd371910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CircoMagia";"/usuario/Niños"
12536930;"Acompañamiento digital a personas mayores";"";"1";"1";"L,M,X,J,V,S,D";"";"2025-10-01 00:00:00.0";"2026-01-14 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD";"Acompañamiento digital a personas mayores";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3578a37147a02910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12622331;"Acompañar en la pérdida";"";"0";"1";"M";"23/9/2025;30/9/2025;7/10/2025;21/10/2025;28/10/2025;4/11/2025;18/11/2025;25/11/2025;2/12/2025;9/12/2025;23/12/2025;30/12/2025;";"2025-09-16 00:00:00.0";"2025-12-16 23:59:00.0";"17:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD";"Acompañar en la pérdida";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=455023e4c84d3910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)";"1,5,6";"AVENIDA";"MONFORTE DE LEMOS";"38";"FUENCARRAL-EL PARDO";"EL PILAR";"28029";"439867";"4481122";"40.47860087334554";"-3.7094408342979954";"/contenido/actividades/CursosTalleres";""
50015577;"Activando mi suelo pélvico. Taller de consciencia corporal y bienestar";"";"1";"0";"";"";"2025-10-31 00:00:00.0";"2025-10-31 23:59:00.0";"10:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddba25907ba58910VgnVCM200000f921e388RCRD";"Conociendo y activando mi suelo pélvico. Taller de consciencia corporal y bienestar";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=61f42e8d9e48b810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=63431203d9e85110VgnVCM1000000b205a0aRCRD";"Espacio de Igualdad Lourdes Hernández. Carabanchel";"1";"CALLE";"COMANDANTE FONTANES";"8";"CARABANCHEL";"SAN ISIDRO";"28019";"438758";"4471886";"40.395326406887946";"-3.721622686264932";"/contenido/actividades/CursosTalleres";"/usuario/Mujeres"
50043776;"Actividad física a partir de los 60";"";"1";"0";"";"";"2025-10-22 00:00:00.0";"2025-10-22 23:59:00.0";"19:00";"Daniel Mardomingo  Duración: 60 minutos  Edad recomendada: A partir de 18 años  Sinopsis: El trabajo de fuerza combinado con una adecuada alimentación es crucial para mantener la salud y la calidad de vida en las personas mayores de 60 años. Daniel Mardomingo, entrenaodor personal com una amplia experiencia, aboradá cómo el entrenamiento de fuerza, junto con una dieta rica en proteínas, es fundamental para un envejecimiento saludable y activo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19265cc8a0829910VgnVCM200000f921e388RCRD";"Actividades en el Centro Cultural Zazuar";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bba62d24e6f61910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Zazuar (Villa de Vallecas)";"1,6";"CALLE";"ZAZUAR";"4";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"448550";"4470424";"40.38281866921273";"-3.6061377076487906";"/contenido/actividades/ConferenciasColoquios";""
50079968;"Actividades en el Centro Cultural Lope de Vega";"";"1";"1";"L,M,X,J,V,S,D";"";"2025-10-29 00:00:00.0";"2025-11-20 23:59:00.0";"";"Exposición de pintura. Philippe d´Andrea es un pintor francés afincado Madrid. Se trata de un artista muy ligado a la naturaleza, conocido por su obra de paisajes de colores luminosos y pinceladas de influencia impresionista.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=29e820e9b59a9910VgnVCM100000891ecb1aRCRD";"Actividades en el Centro Cultural Lope de Vega";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=74ba6ec1906fc610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Lope de Vega (Puente de Vallecas)";"1";"CALLE";"CONCEJO DE TEVERGA";"1";"PUENTE DE VALLECAS";"ENTREVIAS";"28053";"442974";"4470850";"40.386296991431074";"-3.671858416387963";"/contenido/actividades/Exposiciones";""
